,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/Nasa00,September 2020,5,Very nice trip,"Maria and Gerasimos are very warm and interesting people. There was plenty of fresh and delicious food, all made by Gerasimos. The beaches that we visited were beautiful and non-crowded. The sea was calm. We enjoyed our trip a lot and would definitely recommed it to others!"
1,https://www.tripadvisor.com/Profile/KENT_Gang,August 2020,5,The best of trips with super-friendly hosts. 100% recommended,"This was definitely the highlight of our wonderful fortnight in beautiful Kefalonia. We had the best of days; watching the fishing nets being recovered (and the myriad of different, and as we found out, tasty species), seeing the sea turtles around the fish farm, swimming and snorkelling at the White Cliffs beach and Vardiani Island (both only accessible by boat), and eating the finest of freshly caught and prepared food, all washed down with local wine and tsipouro. Maria and Captain Gerasimos were so friendly and welcoming, explaining how the food was prepared, and taking time to answer all of the questions we had about Kefalonian life. We also had the delights of Maria's very friendly young daughter to entertain us. We are a family of four including two adult, 18 and 20 year old daughters, who all thoroughly enjoyed our fabulous trip.…"
2,https://www.tripadvisor.com/Profile/kizomir,August 2020,5,Great day,"I had a great time. Hosts, Maria and Gerasimos, are very kind and warm. We visit interesting places. The food was delicious, Gerasimos is excelent chef. The best day of my vacation. If you go to Kefalonia, Poseidon fishing is must see!"
3,https://www.tripadvisor.com/Profile/V9689IQevap,September 2020,5,👍🏻,"Very friendly staff, had a great time.We helped with the daily catch (fish and crab) which we then had for lunch - best part of the trip!"
4,https://www.tripadvisor.com/Profile/136arner,August 2020,5,The best trip one can wish for,"This trip is the most pleasant combination of secluded beaches, amazing  seafood, great company and unforgettable fishing experience. Small group size allows guests to get to know true locals, the nicest people you can meet, Captain Gerasimos and the host Maria. Beautiful trip, authentic experience, oh and did I mention insanely fresh and tasty food?  In short, do yourself a favour and just book it.…"
0,https://www.tripadvisor.com/Profile/139ur_aa,August 2020,5,Best boat trip,It was the best boat trip we have ever had. The food was amazing and prepared with love. Maria and the owner are really warm people with a kind heart. We would reccomed this experience to all who come to Kefalonia. It was un unforgetable day.
1,https://www.tripadvisor.com/Profile/Ariako,August 2020,5,Best day of our holiday,"Best part of our holiday! We enjoyed an entire day of sea, sun and fishing. Especially the  fantastic meal (we ate the catch of the day) that was cooked by the captain himself!"
2,https://www.tripadvisor.com/Profile/Roadtrip66,August 2020,5,Super day fishing and boating,Had a lovely day! Capt and Maria were super hospitable. Was great to see traditional fisherman at work and help with the catch! You'll eat the freshest most delicious fish and prawns in the world! Swimming in the crystal clear waters is a real treat. Short sail around the fish…
3,https://www.tripadvisor.com/Profile/426jakah,July 2020,5,Beautiful,"By far the best and most authentic trip I've ever been on. It's a must for anyone who likes sea food, you will not go hungry (even if you don't catch much that day). An overall excellent experience, can't recommend it enough! Breathtaking view and beaches, swim to your heart's…"
4,https://www.tripadvisor.com/Profile/Isa_SDot,September 2019,5,Private tour,"Due to the late season, we were so lucky that Maria and the Captain gave us a private tour, just for the two of us. The tour started with a delicous breakfast during the way out to the sea to get the 1 km long fishing net. Some of the rare sea turtles greeted us on our way.…"
